epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,199,,,0.80078125,1.3796896934509277,,
0,214,,,,,0.7770000100135803,1.1966482400894165
1,399,,,0.8671875,0.4939577877521515,,
1,429,,,,,0.8708000183105469,0.45518258213996887
2,599,,,0.890625,0.33911195397377014,,
2,644,,,,,0.8953999876976013,0.3527486026287079
3,799,,,0.87890625,0.3290655314922333,,
3,859,,,,,0.9114000201225281,0.2987988591194153
4,999,,,0.89453125,0.38107582926750183,,
4,1074,,,,,0.9192000031471252,0.26739588379859924
5,1199,,,0.93359375,0.22312918305397034,,
5,1289,,,,,0.9277999997138977,0.23937201499938965
6,1399,,,0.96484375,0.1978476494550705,,
6,1504,,,,,0.9351999759674072,0.21490104496479034
7,1599,,,0.953125,0.17215409874916077,,
7,1719,,,,,0.9426000118255615,0.19654420018196106
8,1799,,,0.92578125,0.2649875283241272,,
8,1934,,,,,0.9440000057220459,0.1824033260345459
9,1999,,,0.93359375,0.19711151719093323,,
9,2149,,,,,0.9488000273704529,0.17130146920681
10,2199,,,0.9375,0.2065609246492386,,
10,2364,,,,,0.9473999738693237,0.16445058584213257
11,2399,,,0.9375,0.20531561970710754,,
11,2579,,,,,0.953000009059906,0.1553715020418167
12,2599,,,0.94921875,0.1571880280971527,,
12,2794,,,,,0.9556000232696533,0.14556685090065002
13,2799,,,0.9609375,0.13234849274158478,,
13,2999,,,0.94921875,0.14121663570404053,,
13,3009,,,,,0.9559999704360962,0.140009805560112
14,3199,,,0.9609375,0.15617570281028748,,
14,3224,,,,,0.9617999792098999,0.1355849802494049
15,3399,,,0.96875,0.1053563579916954,,
15,3439,,,,,0.9593999981880188,0.1307278871536255
16,3599,,,0.98046875,0.06943023204803467,,
16,3654,,,,,0.9607999920845032,0.12632408738136292
17,3799,,,0.9609375,0.11415302008390427,,
17,3869,,,,,0.9624000191688538,0.12283885478973389
18,3999,,,0.95703125,0.1852615773677826,,
18,4084,,,,,0.9639999866485596,0.11700332164764404
19,4199,,,0.96484375,0.12274305522441864,,
19,4299,,,,,0.9656000137329102,0.11363551020622253
20,4399,,,0.95703125,0.2004280537366867,,
20,4514,,,,,0.9661999940872192,0.11091705411672592
21,4599,,,0.9609375,0.07830286026000977,,
21,4729,,,,,0.9657999873161316,0.11076422035694122
22,4799,,,0.9609375,0.12990793585777283,,
22,4944,,,,,0.9675999879837036,0.10594747215509415
23,4999,,,0.96484375,0.11255787312984467,,
23,5159,,,,,0.9678000211715698,0.10323400795459747
24,5199,,,0.97265625,0.10646587610244751,,
24,5374,,,,,0.9674000144004822,0.10183214396238327
25,5399,,,0.97265625,0.06717642396688461,,
25,5589,,,,,0.9696000218391418,0.10267157852649689
26,5599,,,0.9765625,0.09405645728111267,,
26,5799,,,0.984375,0.06213159114122391,,
26,5804,,,,,0.9682000279426575,0.09899187088012695
27,5999,,,0.9921875,0.036104291677474976,,
27,6019,,,,,0.9700000286102295,0.0967913568019867
28,6199,,,0.98828125,0.04332609102129936,,
28,6234,,,,,0.9703999757766724,0.09508119523525238
29,6399,,,0.984375,0.0700821802020073,,
29,6449,,,,,0.9693999886512756,0.09346472471952438
30,6599,,,0.9921875,0.05889757350087166,,
30,6664,,,,,0.97079998254776,0.0905899628996849
31,6799,,,0.96484375,0.1148836687207222,,
31,6879,,,,,0.9697999954223633,0.0895940363407135
32,6999,,,0.98046875,0.07980380952358246,,
32,7094,,,,,0.9714000225067139,0.08973221480846405
33,7199,,,0.9765625,0.049806687980890274,,
33,7309,,,,,0.97079998254776,0.08834414929151535
34,7399,,,0.96484375,0.10855276882648468,,
34,7524,,,,,0.9733999967575073,0.08501481264829636
35,7599,,,0.984375,0.05381549894809723,,
35,7739,,,,,0.9728000164031982,0.0847695916891098
36,7799,,,0.98046875,0.043905869126319885,,
36,7954,,,,,0.9729999899864197,0.08388938009738922
37,7999,,,0.97265625,0.10352811217308044,,
37,8169,,,,,0.9729999899864197,0.08238900452852249
38,8199,,,0.98828125,0.044866595417261124,,
38,8384,,,,,0.974399983882904,0.08017054200172424
39,8399,,,0.96875,0.09173866361379623,,
39,8599,,,0.9814814925193787,0.10221505165100098,,
39,8599,,,,,0.9733999967575073,0.08182906359434128
40,8799,,,0.984375,0.04819965362548828,,
40,8814,,,,,0.9728000164031982,0.08158226311206818
41,8999,,,0.98828125,0.030390959233045578,,
41,9029,,,,,0.9733999967575073,0.08234090358018875
42,9030,0.9801999926567078,0.06318996846675873,,,,
