epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,199,,,0.9375,0.2678256928920746,,
0,399,,,0.96875,0.14105072617530823,,
0,599,,,0.96875,0.19721312820911407,,
0,799,,,1.0,0.018795926123857498,,
0,999,,,0.96875,0.187497079372406,,
0,1199,,,0.9375,0.1817537099123001,,
0,1399,,,0.96875,0.12545202672481537,,
0,1599,,,0.90625,0.17058169841766357,,
0,1718,,,,,0.9635999798774719,0.11583981662988663
1,1799,,,0.9375,0.14568547904491425,,
1,1999,,,0.9375,0.16064393520355225,,
1,2199,,,0.9375,0.11620298027992249,,
1,2399,,,0.96875,0.04526219889521599,,
1,2599,,,1.0,0.0506112314760685,,
1,2799,,,0.9375,0.17487233877182007,,
1,2999,,,0.96875,0.08381577581167221,,
1,3199,,,1.0,0.02764931134879589,,
1,3399,,,1.0,0.007993181236088276,,
1,3437,,,,,0.9750000238418579,0.07753650844097137
2,3599,,,0.96875,0.056073516607284546,,
2,3799,,,0.96875,0.030433289706707,,
2,3999,,,1.0,0.005941855721175671,,
2,4199,,,1.0,0.016190463677048683,,
2,4399,,,1.0,0.015872284770011902,,
2,4599,,,1.0,0.01796829327940941,,
2,4799,,,1.0,0.02441563457250595,,
2,4999,,,0.96875,0.03193372115492821,,
2,5156,,,,,0.9818000197410583,0.055315449833869934
3,5199,,,1.0,0.0008773800800554454,,
3,5399,,,1.0,0.025443634018301964,,
3,5599,,,1.0,0.031621288508176804,,
3,5799,,,1.0,0.0008033584454096854,,
3,5999,,,1.0,0.006159197073429823,,
3,6199,,,1.0,0.007697317749261856,,
3,6399,,,1.0,0.027893289923667908,,
3,6599,,,1.0,0.021844137459993362,,
3,6799,,,1.0,0.02316500060260296,,
3,6875,,,,,0.9805999994277954,0.06668642908334732
4,6999,,,1.0,0.0023528062738478184,,
4,7199,,,0.96875,0.196310356259346,,
4,7399,,,0.96875,0.06268884986639023,,
4,7599,,,1.0,0.014524430967867374,,
4,7799,,,0.96875,0.17581939697265625,,
4,7999,,,1.0,0.0020077002700418234,,
4,8199,,,1.0,0.0003298507072031498,,
4,8399,,,0.96875,0.12396329641342163,,
4,8594,,,,,0.98580002784729,0.04910470172762871
5,8599,,,1.0,0.0015551227843388915,,
5,8799,,,1.0,0.0011859065853059292,,
5,8999,,,1.0,0.0017658465076237917,,
5,9199,,,1.0,0.004846401046961546,,
5,9399,,,1.0,0.03704265505075455,,
5,9599,,,0.96875,0.08337313681840897,,
5,9799,,,0.96875,0.06611942499876022,,
5,9999,,,0.96875,0.050843480974435806,,
5,10199,,,0.96875,0.057310402393341064,,
5,10313,,,,,0.9842000007629395,0.04807785898447037
6,10399,,,1.0,0.015288027003407478,,
6,10599,,,1.0,0.0034590703435242176,,
6,10799,,,1.0,0.019541993737220764,,
6,10999,,,1.0,0.011209754273295403,,
6,11199,,,0.96875,0.03452370688319206,,
6,11399,,,1.0,0.006650103256106377,,
6,11599,,,1.0,0.0011834197212010622,,
6,11799,,,0.96875,0.05298146232962608,,
6,11999,,,1.0,0.004178520292043686,,
6,12032,,,,,0.9876000285148621,0.043633922934532166
7,12199,,,1.0,0.001128195901401341,,
7,12399,,,1.0,0.00015544607595074922,,
7,12599,,,1.0,0.0003588231047615409,,
7,12799,,,1.0,0.005348795093595982,,
7,12999,,,1.0,0.0004897030885331333,,
7,13199,,,0.96875,0.04150334745645523,,
7,13399,,,1.0,0.0036888890899717808,,
7,13599,,,1.0,0.009594767354428768,,
7,13751,,,,,0.9886000156402588,0.03804176300764084
8,13799,,,1.0,0.0006999396136961877,,
8,13999,,,1.0,0.00021585503418464214,,
8,14199,,,1.0,0.012858269736170769,,
8,14399,,,1.0,0.01026584580540657,,
8,14599,,,1.0,0.004701234865933657,,
8,14799,,,1.0,0.001477234996855259,,
8,14999,,,1.0,0.011751039884984493,,
8,15199,,,1.0,0.0014418390346691012,,
8,15399,,,1.0,0.0008343419758602977,,
8,15470,,,,,0.9850000143051147,0.05523579567670822
9,15599,,,1.0,0.010827922262251377,,
9,15799,,,1.0,0.0005231095710769296,,
9,15999,,,1.0,4.471649299375713e-05,,
9,16199,,,0.96875,0.07778648287057877,,
9,16399,,,1.0,0.001820693607442081,,
9,16599,,,1.0,0.0010091273579746485,,
9,16799,,,1.0,0.00011244224879192188,,
9,16999,,,1.0,0.0005498380050994456,,
9,17189,,,,,0.9829999804496765,0.05657341331243515
10,17199,,,1.0,0.014540476724505424,,
10,17399,,,1.0,0.00011102714779553935,,
10,17599,,,1.0,0.00042528891935944557,,
10,17799,,,1.0,0.00045358348870649934,,
10,17999,,,0.96875,0.025585826486349106,,
10,18199,,,1.0,0.0006860383437015116,,
10,18399,,,1.0,0.002500607166439295,,
10,18599,,,1.0,0.021265672519803047,,
10,18799,,,0.96875,0.23417292535305023,,
10,18908,,,,,0.9815999865531921,0.06504777073860168
11,18909,0.9848999977111816,0.050895292311906815,,,,
